season,game_date,game_away_team,game_home_team,game_url,visiting_center,home_center,winning_tip,Visiting Team Event,Visiting Team Player,Home Team Event,Home Team Player,Score,Possession
2017,"Tue, Oct 25, 2016",New York Knicks,Cleveland Cavaliers,/boxscores/201610250CLE.html,n/noahjo01,t/thomptr01,away_center,D. Rose makes 2-pt layup from 1 ft (assist by J. Noah),r/rosede01,,,2-0,New York Knicks
2017,"Tue, Oct 25, 2016",Utah Jazz,Portland Trail Blazers,/boxscores/201610250POR.html,g/goberru01,p/plumlma01,away_center,R. Hood makes 2-pt jump shot from 19 ft (assist by R. Gobert),h/hoodro01,,,2-0,Utah Jazz
2017,"Tue, Oct 25, 2016",San Antonio Spurs,Golden State Warriors,/boxscores/201610250GSW.html,g/gasolpa01,p/pachuza01,away_center,L. Aldridge misses 2-pt jump shot from 19 ft,a/aldrila01,,,0-0,San Antonio Spurs
2017,"Tue, Oct 25, 2016",San Antonio Spurs,Golden State Warriors,/boxscores/201610250GSW.html,g/gasolpa01,p/pachuza01,away_center,,,Defensive rebound by K. Durant,d/duranke01,0-0,Golden State Warriors
2017,"Tue, Oct 25, 2016",San Antonio Spurs,Golden State Warriors,/boxscores/201610250GSW.html,g/gasolpa01,p/pachuza01,away_center,,,D. Green misses 3-pt jump shot from 25 ft,g/greendr01,0-0,Golden State Warriors
2017,"Tue, Oct 25, 2016",San Antonio Spurs,Golden State Warriors,/boxscores/201610250GSW.html,g/gasolpa01,p/pachuza01,away_center,Defensive rebound by T. Parker,p/parketo01,,,0-0,San Antonio Spurs
2017,"Tue, Oct 25, 2016",San Antonio Spurs,Golden State Warriors,/boxscores/201610250GSW.html,g/gasolpa01,p/pachuza01,away_center,T. Parker makes 2-pt layup from 1 ft,p/parketo01,,,2-0,San Antonio Spurs
2017,"Wed, Oct 26, 2016",Dallas Mavericks,Indiana Pacers,/boxscores/201610260IND.html,b/bogutan01,t/turnemy01,home_center,,,M. Turner makes 2-pt dunk from 3 ft (assist by J. Teague),t/turnemy01,0-2,Indiana Pacers
2017,"Wed, Oct 26, 2016",Miami Heat,Orlando Magic,/boxscores/201610260ORL.html,v/vucevni01,w/whiteha01,away_center,Offensive rebound by H. Whiteside,w/whiteha01,,,0-0,Miami Heat
2017,"Wed, Oct 26, 2016",Miami Heat,Orlando Magic,/boxscores/201610260ORL.html,v/vucevni01,w/whiteha01,away_center,H. Whiteside makes 2-pt dunk at rim,w/whiteha01,,,2-0,Miami Heat
2017,"Wed, Oct 26, 2016",Brooklyn Nets,Boston Celtics,/boxscores/201610260BOS.html,j/johnsam01,l/lopezbr01,away_center,B. Lopez misses 2-pt hook shot from 10 ft,l/lopezbr01,,,0-0,Brooklyn Nets
2017,"Wed, Oct 26, 2016",Brooklyn Nets,Boston Celtics,/boxscores/201610260BOS.html,j/johnsam01,l/lopezbr01,away_center,,,Defensive rebound by I. Thomas,t/thomais02,0-0,Boston Celtics
2017,"Wed, Oct 26, 2016",Brooklyn Nets,Boston Celtics,/boxscores/201610260BOS.html,j/johnsam01,l/lopezbr01,away_center,Violation by B. Lopez (def goaltending),l/lopezbr01,,,0-0,Brooklyn Nets
2017,"Wed, Oct 26, 2016",Brooklyn Nets,Boston Celtics,/boxscores/201610260BOS.html,j/johnsam01,l/lopezbr01,away_center,,,J. Crowder makes 2-pt layup from 1 ft (assist by I. Thomas),c/crowdja01,0-2,Boston Celtics
2017,"Wed, Oct 26, 2016",Detroit Pistons,Toronto Raptors,/boxscores/201610260TOR.html,d/drumman01,v/valanjo01,away_center,K. Caldwell-Pope makes 2-pt jump shot from 18 ft,c/caldwke01,,,2-0,Detroit Pistons
2017,"Wed, Oct 26, 2016",Denver Nuggets,New Orleans Pelicans,/boxscores/201610260NOP.html,d/davisan02,n/nurkiju01,away_center,Turnover by N. Jokić (bad pass; steal by A. Davis),j/jokicni01,,,0-0,Denver Nuggets
2017,"Wed, Oct 26, 2016",Denver Nuggets,New Orleans Pelicans,/boxscores/201610260NOP.html,d/davisan02,n/nurkiju01,away_center,,,Turnover by S. Hill (bad pass; steal by E. Mudiay),h/hillso01,0-0,New Orleans Pelicans
2017,"Wed, Oct 26, 2016",Denver Nuggets,New Orleans Pelicans,/boxscores/201610260NOP.html,d/davisan02,n/nurkiju01,away_center,Shooting foul by Ö. Aşık (drawn by J. Nurkić),a/asikom01,,,0-0,Denver Nuggets
2017,"Wed, Oct 26, 2016",Denver Nuggets,New Orleans Pelicans,/boxscores/201610260NOP.html,d/davisan02,n/nurkiju01,away_center,J. Nurkić misses free throw 1 of 2,n/nurkiju01,,,0-0,Denver Nuggets
2017,"Wed, Oct 26, 2016",Denver Nuggets,New Orleans Pelicans,/boxscores/201610260NOP.html,d/davisan02,n/nurkiju01,away_center,Offensive rebound by Team,,,,0-0,Denver Nuggets
2017,"Wed, Oct 26, 2016",Denver Nuggets,New Orleans Pelicans,/boxscores/201610260NOP.html,d/davisan02,n/nurkiju01,away_center,J. Nurkić makes free throw 2 of 2,n/nurkiju01,,,1-0,Denver Nuggets
2017,"Wed, Oct 26, 2016",Charlotte Hornets,Milwaukee Bucks,/boxscores/201610260MIL.html,h/hibbero01,p/plumlmi01,home_center,,,Turnover by J. Parker (bad pass; steal by N. Batum),p/parkeja01,0-0,Milwaukee Bucks
2017,"Wed, Oct 26, 2016",Charlotte Hornets,Milwaukee Bucks,/boxscores/201610260MIL.html,h/hibbero01,p/plumlmi01,home_center,M. Kidd-Gilchrist makes 2-pt hook shot from 5 ft,k/kiddgmi01,,,2-0,Charlotte Hornets
2017,"Wed, Oct 26, 2016",Minnesota Timberwolves,Memphis Grizzlies,/boxscores/201610260MEM.html,g/gasolma01,t/townska01,away_center,Shooting foul by J. Ennis (drawn by A. Wiggins),e/ennisja01,,,0-0,Minnesota Timberwolves
2017,"Wed, Oct 26, 2016",Minnesota Timberwolves,Memphis Grizzlies,/boxscores/201610260MEM.html,g/gasolma01,t/townska01,away_center,A. Wiggins makes free throw 1 of 2,w/wiggian01,,,1-0,Minnesota Timberwolves
2017,"Wed, Oct 26, 2016",Oklahoma City Thunder,Philadelphia 76ers,/boxscores/201610260PHI.html,a/adamsst01,e/embiijo01,away_center,Personal foul by D. Šarić (drawn by S. Adams),s/saricda01,,,0-0,Oklahoma City Thunder
2017,"Wed, Oct 26, 2016",Oklahoma City Thunder,Philadelphia 76ers,/boxscores/201610260PHI.html,a/adamsst01,e/embiijo01,away_center,R. Westbrook misses 2-pt jump shot from 18 ft,w/westbru01,,,0-0,Oklahoma City Thunder
2017,"Wed, Oct 26, 2016",Oklahoma City Thunder,Philadelphia 76ers,/boxscores/201610260PHI.html,a/adamsst01,e/embiijo01,away_center,,,Defensive rebound by J. Embiid,e/embiijo01,0-0,Philadelphia 76ers
2017,"Wed, Oct 26, 2016",Oklahoma City Thunder,Philadelphia 76ers,/boxscores/201610260PHI.html,a/adamsst01,e/embiijo01,away_center,,,J. Embiid misses 3-pt jump shot from 24 ft,e/embiijo01,0-0,Philadelphia 76ers
2017,"Wed, Oct 26, 2016",Oklahoma City Thunder,Philadelphia 76ers,/boxscores/201610260PHI.html,a/adamsst01,e/embiijo01,away_center,Defensive rebound by A. Roberson,r/roberan03,,,0-0,Oklahoma City Thunder
2017,"Wed, Oct 26, 2016",Oklahoma City Thunder,Philadelphia 76ers,/boxscores/201610260PHI.html,a/adamsst01,e/embiijo01,away_center,Personal foul by J. Embiid (drawn by S. Adams),e/embiijo01,,,0-0,Oklahoma City Thunder
2017,"Wed, Oct 26, 2016",Oklahoma City Thunder,Philadelphia 76ers,/boxscores/201610260PHI.html,a/adamsst01,e/embiijo01,away_center,V. Oladipo misses 2-pt layup from 3 ft,o/oladivi01,,,0-0,Oklahoma City Thunder
