season,game_date,game_away_team,game_home_team,game_url,visiting_center,home_center,winning_tip,Visiting Team Event,Visiting Team Player,Home Team Event,Home Team Player,Score,Possession,Point Attempt,Shot Distance,Offensive Rebound,Defensive Rebound,Turnover
2016,"Tue, Oct 27, 2015",Detroit Pistons,Atlanta Hawks,/boxscores/201510270ATL.html,d/drumman01,h/horfoal01,away_center,A. Drummond misses 2-pt layup from 1 ft (block by A. Horford),d/drumman01,,,0-0,Detroit Pistons,2,1,0,0,0
2016,"Tue, Oct 27, 2015",Detroit Pistons,Atlanta Hawks,/boxscores/201510270ATL.html,d/drumman01,h/horfoal01,away_center,,,Defensive rebound by K. Bazemore,b/bazemke01,0-0,Atlanta Hawks,,,0,1,0
2016,"Tue, Oct 27, 2015",Detroit Pistons,Atlanta Hawks,/boxscores/201510270ATL.html,d/drumman01,h/horfoal01,away_center,,,Turnover by K. Bazemore (bad pass),b/bazemke01,0-0,Atlanta Hawks,,,0,0,1
2016,"Tue, Oct 27, 2015",Detroit Pistons,Atlanta Hawks,/boxscores/201510270ATL.html,d/drumman01,h/horfoal01,away_center,M. Morris makes 2-pt jump shot from 13 ft (assist by A. Drummond),m/morrima03,,,2-0,Detroit Pistons,2,13,0,0,0
2016,"Tue, Oct 27, 2015",Cleveland Cavaliers,Chicago Bulls,/boxscores/201510270CHI.html,g/gasolpa01,m/mozgoti01,home_center,,,N. Mirotić misses 2-pt layup from 2 ft,m/mirotni01,0-0,Chicago Bulls,2,2,0,0,0
2016,"Tue, Oct 27, 2015",Cleveland Cavaliers,Chicago Bulls,/boxscores/201510270CHI.html,g/gasolpa01,m/mozgoti01,home_center,Defensive rebound by K. Love,l/loveke01,,,0-0,Cleveland Cavaliers,,,0,1,0
2016,"Tue, Oct 27, 2015",Cleveland Cavaliers,Chicago Bulls,/boxscores/201510270CHI.html,g/gasolpa01,m/mozgoti01,home_center,K. Love makes 2-pt dunk at rim (assist by L. James),l/loveke01,,,2-0,Cleveland Cavaliers,2,,0,0,0
2016,"Tue, Oct 27, 2015",New Orleans Pelicans,Golden State Warriors,/boxscores/201510270GSW.html,b/bogutan01,d/davisan02,away_center,A. Davis misses 3-pt jump shot from 23 ft,d/davisan02,,,0-0,New Orleans Pelicans,3,23,0,0,0
2016,"Tue, Oct 27, 2015",New Orleans Pelicans,Golden State Warriors,/boxscores/201510270GSW.html,b/bogutan01,d/davisan02,away_center,,,Defensive rebound by A. Bogut,b/bogutan01,0-0,Golden State Warriors,,,0,1,0
2016,"Tue, Oct 27, 2015",New Orleans Pelicans,Golden State Warriors,/boxscores/201510270GSW.html,b/bogutan01,d/davisan02,away_center,,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Thompson),g/greendr01,0-3,Golden State Warriors,3,26,0,0,0
