PlayerID,Name,Height,Birthday
h/horfoal01,Al Horford,81,1986-06-03
e/embiijo01,Joel Embiid,84,1994-03-16
c/covinro01,Robert Covington,79,1990-12-14
t/tatumja01,Jayson Tatum,80,1998-03-03
s/saricda01,Dario Šarić,82,1994-04-08
s/simmobe01,Ben Simmons,82,1996-07-20
b/brownja02,Jaylen Brown,78,1996-10-24
j/jonesda03,Damian Jones,83,1995-06-30
a/adamsst01,Steven Adams,83,1993-07-20
t/thompkl01,Klay Thompson,78,1990-02-08
g/georgpa01,Paul George,80,1990-05-02
c/curryst01,Stephen Curry,75,1988-03-14
z/zelleco01,Cody Zeller,84,1992-10-05
l/lopezbr01,Brook Lopez,84,1988-04-01
d/drumman01,Andre Drummond,82,1993-08-10
a/allenja01,Jarrett Allen,83,1998-04-21
k/kennalu01,Luke Kennard,77,1996-06-24
b/brownbr01,Bruce Brown,76,1996-08-15
t/turnemy01,Myles Turner,83,1996-03-24
g/gasolma01,Marc Gasol,83,1985-01-29
y/youngth01,Thaddeus Young,80,1988-06-21
p/parsoch01,Chandler Parsons,81,1988-10-25
b/bogdabo02,Bojan Bogdanović,80,1989-04-18
v/vucevni01,Nikola Vučević,83,1990-10-24
w/whiteha01,Hassan Whiteside,84,1989-06-13
m/mcgruro01,Rodney McGruder,76,1991-07-29
g/gordoaa01,Aaron Gordon,80,1995-09-16
f/fournev01,Evan Fournier,79,1992-10-29
r/richajo01,Josh Richardson,77,1993-09-15
k/kanteen01,Enes Kanter,82,1992-05-20
l/lenal01,Alex Len,84,1993-06-16
b/burketr01,Trey Burke,72,1992-11-12
c/cartevi01,Vince Carter,78,1977-01-26
b/bazemke01,Kent Bazemore,76,1989-07-01
h/hardati02,Tim Hardaway Jr.,77,1992-03-16
p/princta02,Taurean Prince,79,1994-03-22
v/valanjo01,Jonas Valančiūnas,83,1992-05-06
t/thomptr01,Tristan Thompson,81,1991-03-13
l/loveke01,Kevin Love,80,1988-09-07
l/leonaka01,Kawhi Leonard,79,1991-06-29
s/siakapa01,Pascal Siakam,81,1994-04-02
c/capelca01,Clint Capela,82,1994-05-18
d/davisan02,Anthony Davis,82,1993-03-11
m/mirotni01,Nikola Mirotić,82,1991-02-11
p/poeltja01,Jakob Pöltl,85,1995-10-15
t/townska01,Karl-Anthony Towns,83,1995-11-15
w/wiggian01,Andrew Wiggins,79,1995-02-23
a/aldrila01,LaMarcus Aldridge,83,1985-07-19
d/derozde01,DeMar DeRozan,78,1989-08-07
g/gayru01,Rudy Gay,80,1986-08-17
c/caulewi01,Willie Cauley-Stein,84,1993-08-18
g/goberru01,Rudy Gobert,85,1992-06-26
m/mitchdo01,Donovan Mitchell,73,1996-09-07
h/hieldbu01,Buddy Hield,76,1992-12-17
g/gortama01,Marcin Gortat,83,1984-02-17
j/jokicni01,Nikola Jokić,84,1995-02-19
g/gallida01,Danilo Gallinari,82,1988-08-08
m/murraja01,Jamal Murray,76,1997-02-23
h/harriga01,Gary Harris,76,1994-09-14
b/bartowi01,Will Barton,77,1991-01-06
m/millspa01,Paul Millsap,79,1985-02-10
h/harrito02,Tobias Harris,80,1992-07-15
a/aytonde01,Deandre Ayton,83,1998-07-23
j/jordade01,DeAndre Jordan,83,1988-07-21
m/matthwe02,Wesley Matthews,76,1986-10-14
b/bookede01,Devin Booker,77,1996-10-30
d/doncilu01,Luka Dončić,79,1999-02-28
c/cartewe01,Wendell Carter Jr.,81,1999-04-16
l/lavinza01,Zach LaVine,78,1995-03-10
m/mahinia01,Ian Mahinmi,83,1986-11-05
w/walljo01,John Wall,76,1990-09-06
n/nurkiju01,Jusuf Nurkić,84,1994-08-23
m/mcgeeja01,JaVale McGee,84,1988-01-19
a/aminual01,Al-Farouq Aminu,80,1990-09-21
l/lillada01,Damian Lillard,74,1990-07-15
i/ingrabr01,Brandon Ingram,79,1997-09-02
l/laymaja01,Jake Layman,80,1994-03-07
r/rondora01,Rajon Rondo,73,1986-02-22
i/isaacjo01,Jonathan Isaac,83,1997-10-03
i/ibakase01,Serge Ibaka,84,1989-09-18
h/haywago01,Gordon Hayward,79,1990-03-23
i/irvinky01,Kyrie Irving,74,1992-03-23
s/schrode01,Dennis Schröder,73,1993-09-15
b/beverpa01,Patrick Beverley,73,1988-07-12
f/favorde01,Derrick Favors,81,1991-07-15
l/leverca01,Caris LeVert,78,1994-08-25
g/greenda02,Danny Green,78,1987-06-22
p/porteot01,Otto Porter,80,1993-06-03
a/anunoog01,OG Anunoby,79,1997-07-17
n/ntilila01,Frank Ntilikina,76,1998-07-28
b/baynear01,Aron Baynes,82,1986-12-09
g/griffbl01,Blake Griffin,81,1989-03-16
f/finnedo01,Dorian Finney-Smith,79,1993-05-04
a/arizatr01,Trevor Ariza,80,1985-06-30
a/anderry01,Ryan Anderson,81,1988-05-06
c/caldwke01,Kentavious Caldwell-Pope,77,1993-02-18
p/paulch01,Chris Paul,73,1985-05-06
w/westbru01,Russell Westbrook,75,1988-11-12
g/greendr01,Draymond Green,78,1990-03-04
a/augusdj01,D.J. Augustin,71,1987-11-10
l/lowryky01,Kyle Lowry,72,1986-03-25
m/middlkh01,Khris Middleton,79,1991-08-12
g/gibsota01,Taj Gibson,81,1985-06-24
b/balllo01,Lonzo Ball,78,1997-10-27
b/bullore01,Reggie Bullock,78,1991-03-16
j/johnsst04,Stanley Johnson,78,1996-05-29
f/fultzma01,Markelle Fultz,75,1998-05-29
b/bradlav01,Avery Bradley,74,1990-11-26
m/mooreet01,E'Twaun Moore,75,1989-02-25
h/holidjr01,Jrue Holiday,75,1990-06-12
p/paytoel01,Elfrid Payton,75,1994-02-22
s/shumpim01,Iman Shumpert,77,1990-06-26
s/smithde03,Dennis Smith Jr.,74,1997-11-25
y/youngtr01,Trae Young,73,1998-09-19
o/osmande01,Cedi Osman,79,1995-04-08
t/thomala01,Lance Thomas,80,1988-04-24
d/dragigo01,Goran Dragić,75,1986-05-06
o/okogijo01,Josh Okogie,76,1998-09-01
b/batumni01,Nicolas Batum,81,1988-12-14
c/cartemi01,Michael Carter-Williams,77,1991-10-10
f/foxde01,De'Aaron Fox,75,1997-12-20
s/smithja02,Jason Smith,84,1986-03-02
d/duranke01,Kevin Durant,82,1988-09-29
h/hillge01,George Hill,75,1986-05-04
j/jacksre01,Reggie Jackson,75,1990-04-16
f/fryech01,Channing Frye,84,1983-05-17
h/hoodro01,Rodney Hood,80,1992-10-20
r/robinmi01,Mitchell Robinson,84,1998-04-01
b/barneha02,Harrison Barnes,80,1992-05-30
t/tuckepj01,P.J. Tucker,77,1985-05-05
b/bledser01,Eric Bledsoe,73,1989-12-09
a/antetgi01,Giannis Antetokounmpo,83,1994-12-06
b/butleji01,Jimmy Butler,79,1989-09-14
t/teaguje01,Jeff Teague,75,1988-06-10
b/bealbr01,Bradley Beal,75,1993-06-28
b/bjeline01,Nemanja Bjelica,82,1988-05-09
r/randlju01,Julius Randle,80,1994-11-29
p/payneca01,Cameron Payne,75,1994-08-08
l/lambje01,Jeremy Lamb,77,1992-05-30
w/willima02,Marvin Williams,80,1986-06-19
w/walkeke02,Kemba Walker,72,1990-05-08
c/conlemi01,Mike Conley,73,1987-10-11
b/brogdma01,Malcolm Brogdon,77,1992-12-11
f/forbebr01,Bryn Forbes,74,1993-07-23
k/kuzmaky01,Kyle Kuzma,81,1995-07-24
d/dudleja01,Jared Dudley,79,1985-07-10
c/crowdja01,Jae Crowder,78,1990-07-06
r/rubiori01,Ricky Rubio,75,1990-10-21
n/noelne01,Nerlens Noel,82,1994-04-10
c/canaais01,Isaiah Canaan,72,1991-05-21
m/morrima02,Markieff Morris,80,1989-09-02
r/russeda01,D'Angelo Russell,76,1996-02-23
i/ilyaser01,Ersan İlyasova,81,1987-05-15
h/hillso01,Solomon Hill,78,1991-03-18
o/okafoja01,Jahlil Okafor,82,1995-12-15
c/craigto01,Torrey Craig,79,1990-12-19
j/jacksju01,Justin Jackson,79,1995-03-28
t/templga01,Garrett Temple,77,1986-05-08
a/anderky01,Kyle Anderson,81,1993-09-20
g/greenje02,Jeff Green,80,1986-08-28
j/jacksja02,Jaren Jackson Jr.,83,1999-09-15
g/grantje01,Jerami Grant,80,1994-03-12
h/harrijo01,Joe Harris,78,1991-09-06
i/inglejo01,Joe Ingles,79,1987-10-02
o/oladivi01,Victor Oladipo,76,1992-05-04
v/vonleno01,Noah Vonleh,82,1995-08-24
j/jamesle01,LeBron James,80,1984-12-30
w/warretj01,T.J. Warren,80,1993-09-05
c/cunnida01,Dante Cunningham,80,1987-04-22
o/okoboel01,Elie Okobo,75,1997-10-23
o/ojelese01,Semi Ojeleye,78,1994-12-05
m/marjabo01,Boban Marjanović,88,1988-08-15
h/howardw01,Dwight Howard,83,1985-12-08
e/ennisja01,James Ennis,78,1990-07-01
b/bertada01,Dāvis Bertāns,82,1992-11-12
m/mccolcj01,CJ McCollum,75,1991-09-19
a/adebaba01,Bam Adebayo,81,1997-07-18
d/dekkesa01,Sam Dekker,81,1994-05-06
