PlayerID,Name,Height,Birthday
g/gasolma01,Marc Gasol,83,1985-01-29
f/favorde01,Derrick Favors,81,1991-07-15
b/balllo01,Lonzo Ball,78,1997-10-27
z/zubaciv01,Ivica Zubac,84,1997-03-18
m/mcgeeja01,JaVale McGee,84,1988-01-19
j/jamesle01,LeBron James,80,1984-12-30
z/zelleco01,Cody Zeller,84,1992-10-5
c/cartewe01,Wendell Carter Jr.,81,1999-04-16
l/lavinza01,Zach LaVine,78,1995-03-10
b/bridgmi02,Miles Bridges,78,1998-03-21
m/markkla01,Lauri Markkanen,84,1997-05-22
r/roziete01,Terry Rozier,73,1994-03-17
w/washipj01,PJ Washington,79,1998-08-23
t/turnemy01,Myles Turner,83,1996-03-24
d/drumman01,Andre Drummond,82,1993-08-10
b/brownbr01,Bruce Brown,76,1996-08-15
l/lambje01,Jeremy Lamb,77,1992-05-30
j/jacksre01,Reggie Jackson,75,1990-04-16
m/morrima02,Markieff Morris,80,1989-09-2
s/sabondo01,Domantas Sabonis,83,1996-05-3
b/brogdma01,Malcolm Brogdon,77,1992-12-11
w/warretj01,T.J. Warren,80,1993-09-5
v/vucevni01,Nikola Vučević,83,1990-10-24
t/thomptr01,Tristan Thompson,81,1991-03-13
g/gordoaa01,Aaron Gordon,80,1995-09-16
s/sextoco01,Collin Sexton,73,1999-01-4
a/allenja01,Jarrett Allen,83,1998-04-21
t/townska01,Karl-Anthony Towns,83,1995-11-15
p/princta02,Taurean Prince,79,1994-03-22
l/leverca01,Caris LeVert,78,1994-08-25
w/wiggian01,Andrew Wiggins,79,1995-02-23
a/adebaba01,Bam Adebayo,81,1997-07-18
j/jacksja02,Jaren Jackson Jr.,83,1999-09-15
h/herroty01,Tyler Herro,77,2000-01-20
e/embiijo01,Joel Embiid,84,1994-03-16
k/kanteen01,Enes Kanter,82,1992-05-20
t/tatumja01,Jayson Tatum,80,1998-03-3
w/walkeke02,Kemba Walker,72,1990-05-8
p/porzikr01,Kristaps Porziņģis,87,1995-08-2
b/bryanth01,Thomas Bryant,82,1997-07-31
h/hachiru01,Rui Hachimura,80,1998-02-8
d/doncilu01,Luka Dončić,79,1999-02-28
a/aldrila01,LaMarcus Aldridge,83,1985-07-19
p/portibo01,Bobby Portis,82,1995-02-10
m/morrima03,Marcus Morris,80,1989-09-2
g/goberru01,Rudy Gobert,85,1992-06-26
a/adamsst01,Steven Adams,83,1993-07-20
g/gallida01,Danilo Gallinari,82,1988-08-8
o/onealro01,Royce O'Neale,76,1993-06-5
a/aytonde01,Deandre Ayton,83,1998-07-23
b/baglema01,Marvin Bagley III,83,1999-03-14
r/rubiori01,Ricky Rubio,75,1990-10-21
s/saricda01,Dario Šarić,82,1994-04-8
b/barneha02,Harrison Barnes,80,1992-05-30
w/whiteha01,Hassan Whiteside,84,1989-06-13
j/jokicni01,Nikola Jokić,84,1995-02-19
h/hoodro01,Rodney Hood,80,1992-10-20
