season,game_date,game_away_team,game_home_team,game_url,visiting_center,home_center,winning_tip,Visiting Team Event,Visiting Team Player,Home Team Event,Home Team Player,Score,Possession
2020,"Tue, Oct 22, 2019",New Orleans Pelicans,Toronto Raptors,/boxscores/201910220TOR.html,f/favorde01,g/gasolma01,away_center,L. Ball misses 2-pt jump shot from 11 ft,b/balllo01,,,0-0,New Orleans Pelicans
2020,"Tue, Oct 22, 2019",New Orleans Pelicans,Toronto Raptors,/boxscores/201910220TOR.html,f/favorde01,g/gasolma01,away_center,Offensive rebound by D. Favors,f/favorde01,,,0-0,New Orleans Pelicans
2020,"Tue, Oct 22, 2019",New Orleans Pelicans,Toronto Raptors,/boxscores/201910220TOR.html,f/favorde01,g/gasolma01,away_center,D. Favors makes 2-pt layup at rim,f/favorde01,,,2-0,New Orleans Pelicans
2020,"Tue, Oct 22, 2019",Los Angeles Lakers,Los Angeles Clippers,/boxscores/201910220LAC.html,m/mcgeeja01,z/zubaciv01,away_center,L. James makes 2-pt layup from 3 ft (assist by A. Davis),j/jamesle01,,,2-0,Los Angeles Lakers
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,Z. LaVine misses 2-pt jump shot from 19 ft,l/lavinza01,,,0-0,Chicago Bulls
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,,,Defensive rebound by C. Zeller,z/zelleco01,0-0,Charlotte Hornets
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,,,M. Bridges misses 3-pt jump shot from 23 ft,b/bridgmi02,0-0,Charlotte Hornets
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,Defensive rebound by L. Markkanen,m/markkla01,,,0-0,Chicago Bulls
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,Z. LaVine misses 3-pt jump shot from 23 ft,l/lavinza01,,,0-0,Chicago Bulls
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,,,Defensive rebound by T. Rozier,r/roziete01,0-0,Charlotte Hornets
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,,,Turnover by P. Washington (step out of bounds),w/washipj01,0-0,Charlotte Hornets
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,W. Carter misses 2-pt layup from 5 ft,c/cartewe01,,,0-0,Chicago Bulls
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,Offensive rebound by W. Carter,c/cartewe01,,,0-0,Chicago Bulls
2020,"Wed, Oct 23, 2019",Chicago Bulls,Charlotte Hornets,/boxscores/201910230CHO.html,c/cartewe01,z/zelleco01,away_center,W. Carter makes 2-pt layup from 2 ft,c/cartewe01,,,2-0,Chicago Bulls
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,B. Brown misses 2-pt layup from 2 ft,b/brownbr01,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Defensive rebound by J. Lamb,l/lambje01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,J. Lamb misses 3-pt jump shot from 28 ft,l/lambje01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,Defensive rebound by R. Jackson,j/jacksre01,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,M. Morris misses 2-pt jump shot from 6 ft,m/morrima02,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Defensive rebound by D. Sabonis,s/sabondo01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Offensive foul by J. Lamb (drawn by T. Snell),l/lambje01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Turnover by J. Lamb (offensive foul),l/lambje01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,M. Morris misses 3-pt jump shot from 28 ft,m/morrima02,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Defensive rebound by M. Turner,t/turnemy01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,M. Brogdon misses 2-pt jump shot from 14 ft,b/brogdma01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,Defensive rebound by Team,,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,Turnover by A. Drummond (traveling),d/drumman01,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,T. Warren misses 3-pt jump shot from 27 ft,w/warretj01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,Defensive rebound by A. Drummond,d/drumman01,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,A. Drummond misses 2-pt layup from 2 ft (block by T. Warren),d/drumman01,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Defensive rebound by D. Sabonis,s/sabondo01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Turnover by J. Lamb (bad pass; steal by M. Morris),l/lambje01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,M. Morris misses 2-pt jump shot from 21 ft,m/morrima02,,,0-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Defensive rebound by D. Sabonis,s/sabondo01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,,,Turnover by M. Brogdon (lost ball; steal by A. Drummond),b/brogdma01,0-0,Indiana Pacers
2020,"Wed, Oct 23, 2019",Detroit Pistons,Indiana Pacers,/boxscores/201910230IND.html,d/drumman01,t/turnemy01,away_center,R. Jackson makes 2-pt jump shot from 17 ft,j/jacksre01,,,2-0,Detroit Pistons
2020,"Wed, Oct 23, 2019",Cleveland Cavaliers,Orlando Magic,/boxscores/201910230ORL.html,t/thomptr01,v/vucevni01,home_center,,,A. Gordon misses 2-pt hook shot from 8 ft,g/gordoaa01,0-0,Orlando Magic
2020,"Wed, Oct 23, 2019",Cleveland Cavaliers,Orlando Magic,/boxscores/201910230ORL.html,t/thomptr01,v/vucevni01,home_center,Defensive rebound by C. Sexton,s/sextoco01,,,0-0,Cleveland Cavaliers
2020,"Wed, Oct 23, 2019",Cleveland Cavaliers,Orlando Magic,/boxscores/201910230ORL.html,t/thomptr01,v/vucevni01,home_center,T. Thompson makes 2-pt hook shot from 5 ft (assist by K. Love),t/thomptr01,,,2-0,Cleveland Cavaliers
2020,"Wed, Oct 23, 2019",Minnesota Timberwolves,Brooklyn Nets,/boxscores/201910230BRK.html,t/townska01,a/allenja01,away_center,K. Towns misses 2-pt jump shot from 21 ft,t/townska01,,,0-0,Minnesota Timberwolves
2020,"Wed, Oct 23, 2019",Minnesota Timberwolves,Brooklyn Nets,/boxscores/201910230BRK.html,t/townska01,a/allenja01,away_center,,,Defensive rebound by T. Waller-Prince,p/princta02,0-0,Brooklyn Nets
2020,"Wed, Oct 23, 2019",Minnesota Timberwolves,Brooklyn Nets,/boxscores/201910230BRK.html,t/townska01,a/allenja01,away_center,,,J. Allen misses 2-pt layup from 1 ft,a/allenja01,0-0,Brooklyn Nets
2020,"Wed, Oct 23, 2019",Minnesota Timberwolves,Brooklyn Nets,/boxscores/201910230BRK.html,t/townska01,a/allenja01,away_center,Defensive rebound by K. Towns,t/townska01,,,0-0,Minnesota Timberwolves
2020,"Wed, Oct 23, 2019",Minnesota Timberwolves,Brooklyn Nets,/boxscores/201910230BRK.html,t/townska01,a/allenja01,away_center,Shooting foul by C. LeVert (drawn by A. Wiggins),l/leverca01,,,0-0,Minnesota Timberwolves
2020,"Wed, Oct 23, 2019",Minnesota Timberwolves,Brooklyn Nets,/boxscores/201910230BRK.html,t/townska01,a/allenja01,away_center,A. Wiggins misses free throw 1 of 2,w/wiggian01,,,0-0,Minnesota Timberwolves
2020,"Wed, Oct 23, 2019",Minnesota Timberwolves,Brooklyn Nets,/boxscores/201910230BRK.html,t/townska01,a/allenja01,away_center,Offensive rebound by Team,,,,0-0,Minnesota Timberwolves
2020,"Wed, Oct 23, 2019",Minnesota Timberwolves,Brooklyn Nets,/boxscores/201910230BRK.html,t/townska01,a/allenja01,away_center,A. Wiggins makes free throw 2 of 2,w/wiggian01,,,1-0,Minnesota Timberwolves
2020,"Wed, Oct 23, 2019",Memphis Grizzlies,Miami Heat,/boxscores/201910230MIA.html,j/jacksja02,a/adebaba01,away_center,Turnover by J. Jackson (out of bounds lost ball),j/jacksja02,,,0-0,Memphis Grizzlies
2020,"Wed, Oct 23, 2019",Memphis Grizzlies,Miami Heat,/boxscores/201910230MIA.html,j/jacksja02,a/adebaba01,away_center,,,T. Herro makes 2-pt jump shot from 6 ft,h/herroty01,0-2,Miami Heat
2020,"Wed, Oct 23, 2019",Boston Celtics,Philadelphia 76ers,/boxscores/201910230PHI.html,k/kanteen01,e/embiijo01,away_center,J. Tatum misses 2-pt jump shot from 17 ft,t/tatumja01,,,0-0,Boston Celtics
2020,"Wed, Oct 23, 2019",Boston Celtics,Philadelphia 76ers,/boxscores/201910230PHI.html,k/kanteen01,e/embiijo01,away_center,,,Defensive rebound by J. Embiid,e/embiijo01,0-0,Philadelphia 76ers
2020,"Wed, Oct 23, 2019",Boston Celtics,Philadelphia 76ers,/boxscores/201910230PHI.html,k/kanteen01,e/embiijo01,away_center,,,Personal foul by K. Walker (drawn by J. Richardson),w/walkeke02,0-0,Philadelphia 76ers
2020,"Wed, Oct 23, 2019",Boston Celtics,Philadelphia 76ers,/boxscores/201910230PHI.html,k/kanteen01,e/embiijo01,away_center,,,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),e/embiijo01,0-2,Philadelphia 76ers
